Image	Name	Price	Description	Metadata
https://ipfs.infura.io/ipfs/QmZ4KzQXTFL1s3AP6Rj8WiBC5t3wiWtnU1h4KCGXP1gGUz	ABC #63		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmYfUwobXsxH2e4kbNNGuL2ovdnRVuHv5B533PGvZytZwv/metadata63.json
https://ipfs.infura.io/ipfs/QmQ1e55DDjLpGCABzYCqZ2eXPgEm9QsjVsMm8T29PgB2YF	ABC #64		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmaTVZRW1bciakCihsADW5WUaERF24nmRdmQYtuFHCTGqx/metadata64.json
https://ipfs.infura.io/ipfs/QmYT9Fhx2perejuuBKdM8grwQwZQ9DXPc3dNPJyZpCFFz1	ABC #65		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmZB1V3k2wykBQGC33FjjNwJXqj85csR52XVTwdyhotoR4/metadata65.json
https://ipfs.infura.io/ipfs/QmeJ7Q4hF5jDt8da8y5YWjyHwerdSGWP16jrpYQobURdRq	ABC #66		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmZ2RuiKD6ejtVdh5cQ9mE5XwZBuWQa2rBFEL2ZK37aLYG/metadata66.json
https://ipfs.infura.io/ipfs/QmTdo2BajKyQbCrxpCTMZ37B82yaV3w4UUUshdr8CgHWZ6	ABC #67		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmNqECNDJxY8FH1bYicBRGw7Jh8D44mdgvEvSGz2ug3hs6/metadata67.json
https://ipfs.infura.io/ipfs/QmbbeqTucbETq4XUhbv4yGv7UVTuULhAqqYHBMCuQhvaW7	ABC #68		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmPoc5xRPvxuCQ5UsoQKDofe7xgi3DWt6C6GWz5shwsBZ1/metadata68.json
https://ipfs.infura.io/ipfs/QmUpZfr4hSDZ38RjciD1AVNpmNEQjEmT5XLdweZdTEj6ym	ABC #69		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmbJpcsw5H1n6KjDc8HSezH9KS2uZCJDe34H1ag2pXCoGb/metadata69.json
https://ipfs.infura.io/ipfs/QmQcvXQe9ts71ssM3uTRxgY2jGtNxD6E2QbEqs3KqWSFf7	ABC #70		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmVEz42wLB9smdFUcKK2UYXHodCLiRgSRxdVX3d8p7cELp/metadata70.json
https://ipfs.infura.io/ipfs/QmZLvJMeyD8CADCKwS9xtmGFkaFAeXHga3gWxm9WxgzXXR	ABC #71		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/Qmc5jaNn1DbcG1JaP9ptJV3rW8dgHTg1RdexxDAE2TBe5u/metadata71.json
https://ipfs.infura.io/ipfs/Qmee4WB1RZzmvF8hRoNajAMj6Z1aT6zBiT5QtiMLYdWmkZ	ABC #72		A unique collection of 10,000 Aussie Bogan Club NFTs	https://ipfs.infura.io/ipfs/QmWr6LfRgHs4vJU4xRfv2dV5EwEgWfD6JUVGSqnJKYRXad/metadata72.json
